plant number	Quad	row 	column	genotype	elevation (m)	Dist	 photosynthesis	 stomatal conductance	Ci	transpiration	Ci/Ca	VpdL	WUE
G1137	1	A	1	GV200	3448	8401.80	1.017934236	0.016799414	243.1709145	0.21247452	0.642471454	0.873922693	4.7908532
G1138	1	A	2	GV072	2933	9777.11	0.884873658	0.014321406	261.1800455	0.161095804	0.688382018	0.873000162	5.492841121
G1139	1	A	3	GV095	2966	10707.18	2.158787941	0.028763587	315.1489788	0.83695969	0.83196047	0.932618196	2.579321282
G1140	1	A	4	GV086	2880	11302.21	3.200734096	0.018962649	285.7895623	0.828044762	0.756021174	0.941341606	3.865411923
G1141	1	A	5	GV050	2934	8548.21	2.556579475	0.023801758	302.3546704	0.777204612	0.801253348	0.8854702	3.289454844
G1143	1	A	7	GV161	3055	5731.51	2.609675987	0.018343678	283.3965464	0.659769459	0.748833566	0.94942597	3.95543618
G1147	1	B	3	GV066	2929	8347.33	2.199510637	0.027987552	313.1110201	0.861664209	0.827160539	0.965888236	2.552630845
G1148	1	B	4	GV048	2949	8277.90	2.32929402	0.018242048	282.113437	0.597690203	0.746679007	0.969579541	3.897159447
G1152	1	B	8	GV072	2933	9777.11	1.644226554	0.024628181	306.7989443	0.488328156	0.810512997	0.831812631	3.367052534
G1153	1	C	1	GV188	3126	5999.44	1.468848456	0.048362856	338.2824954	0.755625921	0.894319169	0.746218	1.943883097
G1156	1	C	4	GV194	3108	6572.34	0.965141948	0.044156989	333.6017668	0.557302553	0.883105277	0.90742997	1.731809667
G1157	1	C	5	GV096	2994	10817.23	1.568300544	0.029889721	318.2136054	0.579572518	0.839634506	0.855118434	2.705960852
G1158	1	C	6	GV194	3108	6572.34	1.211880613	0.039553115	331.0857439	0.623468065	0.872376832	0.904599241	1.943773357
G1160	1	C	8	GV197	3682	9932.09	3.874162179	0.023043027	300.4742302	1.289636054	0.794021888	1.000387748	3.00407403
G1161	1	D	1	GV096	2994	10817.23	2.488644919	0.013931341	255.7568178	0.550490983	0.674640415	1.091341752	4.520773262
G1162	1	D	2	GV187	3067	5996.51	2.639373298	0.022921855	300.1754213	0.899873109	0.792998726	1.026397415	2.933050529
G1163	1	D	3	GV101	3050	9460.26	0.832704064	0.032016213	319.768615	0.356693544	0.843826076	0.920939313	2.334508372
G1164	1	D	4	GV068	2910	10601.83	1.260520899	0.034040488	325.3347136	0.549487697	0.856265415	0.884723602	2.293992943
G1167	1	D	7	GV048	2949	8277.90	3.037804282	0.022775401	300.2250765	0.859079874	0.793950491	0.865118384	3.536113897
G1168	1	D	8	GV105	2929	9490.17	2.484928543	0.032803586	322.9100449	1.067737273	0.8507406	0.909813602	2.327284628
G1169	1	E	1	GV185	3411	3991.37	2.968424354	0.031233708	320.1909715	1.262342515	0.843443888	0.947446887	2.35152054
G1170	1	E	2	GV050	2934	8548.21	2.385136182	0.024334655	305.2394854	0.850490023	0.803854074	1.016166136	2.80442582
G1171	1	E	3	GV161	3055	5731.51	2.164807438	0.03410182	322.0254401	1.126550513	0.851539543	1.06411084	1.921624829
G1172	1	E	4	GV095	2966	10707.18	1.428269489	0.045397205	333.2391691	1.032806223	0.881123076	1.112205194	1.382901707
G1173	1	E	5	GV187	3067	5996.51	1.958428749	0.019449839	286.7844697	0.67246282	0.756669302	1.220269308	2.912322718
G1175	1	E	7	GV089	2869	11743.26	2.132163452	0.032606588	319.4619883	1.165815566	0.844584306	1.16186495	1.828902885
G1176	1	E	8	GV205	3463	7605.80	2.46400865	0.012014018	237.5252865	0.534802566	0.625934985	1.243005447	4.60732391
G1177	1	F	1	GV198	3623	10460.53	3.662497541	0.015754064	264.7879667	1.07416931	0.70187992	1.293537933	3.40960918
G1178	1	F	2	GV205	3463	7605.80	1.498389283	0.015445467	265.2015543	0.432890551	0.700305664	1.285863937	3.461358258
G1180	1	F	4	GV188	3126	5999.44	0.759807117	0.049529361	338.1581792	0.594693092	0.890445643	1.0918181	1.277645777
