Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Transplant_Date,OD_transplant,Date_first_death_observed,Status,Lifetime_Flowered,Lifetime_Fruited,Overwinter_survival,Season_survival,Pre_Vern_Flowered,Post_Vern_Flowered,Failed_silique_number,Mature_silique_number,Mature_length_siliques,total_silique_number,total_length_siliques
T1,High,High,1,1,T1_1_1,213_1,213,2789.81,8/11/21,223,376,0,1,1,1,1,0,1,0,13,431.5,13,431.5
T1,High,High,1,2,T1_1_2,158_2,158,3004,8/18/21,230,369,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,3,T1_1_3,270_10,270,2553,8/13/21,225,26,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,4,T1_1_4,269_15,269,2800,8/13/21,225,374,0,1,1,1,1,0,1,0,11,283.4,11,283.4
T1,High,High,1,5,T1_1_5,211_13A,211,3121.58,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,6,T1_1_6,48_2,48,2951,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,7,T1_1_7,57_1,57,3143,9/7/21,250,349,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,8,T1_1_8,98_7,98,3011,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,9,T1_1_9,303_8,303,3570,8/11/21,223,376,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,10,T1_1_10,253_9,253,3460,8/13/21,225,278,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,1,11,T1_1_11,46_3A,46,3009,8/17/21,229,22,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,12,T1_1_12,102_5,102,3072,8/11/21,223,97,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,13,T1_1_13,194_2,194,3108,8/11/21,223,376,0,1,1,1,1,0,1,6,10,333.9,10,333.9
T1,High,High,1,14,T1_1_14,98_7,98,3011,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,15,T1_1_15,273_18C,273,2710,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,16,T1_1_16,304_19A,304,3673,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,17,T1_1_17,252_4,252,3444,8/27/21,239,305,1,1,1,1,0,0,1,0,5,151.4,5,151.4
T1,High,High,1,18,T1_1_18,86_2,86,2880,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,19,T1_1_19,270_26,270,2553,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,20,T1_1_20,283_22,283,2890,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,21,T1_1_21,253_9,253,3460,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,22,T1_1_22,250_28,250,3133,8/17/21,229,370,0,1,1,1,1,0,1,1,10,346.6,10,346.6
T1,High,High,1,23,T1_1_23,304_19A,304,3673,9/5/21,248,351,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,24,T1_1_24,56_3,56,3132,8/13/21,225,374,0,1,1,1,1,0,1,0,8,440.2,8,440.2
T1,High,High,1,25,T1_1_25,194_2,194,3108,8/11/21,223,376,0,1,1,1,1,0,1,9,14,365.6,14,365.6
T1,High,High,1,26,T1_1_26,273_37,273,2710,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,27,T1_1_27,86_2,86,2880,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,28,T1_1_28,67_4,67,2903,8/11/21,223,376,0,1,1,1,1,0,1,0,12,150.35,12,150.35
T1,High,High,1,29,T1_1_29,151_3,151,2975,8/11/21,223,376,0,1,1,1,1,0,1,16,12,370.6,12,370.6
T1,High,High,1,30,T1_1_30,51_1,51,2929,9/24/21,267,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,31,T1_1_31,156_5,156,2996,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,32,T1_1_32,214_7,214,2693.59,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,33,T1_1_33,262_3,262,2717.292,9/22/21,265,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,34,T1_1_34,102_5,102,3072,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,35,T1_1_35,211_13A,211,3121.58,8/11/21,223,376,0,1,1,1,1,0,1,3,9,347.5,9,347.5
T1,High,High,1,36,T1_1_36,213_1,213,2789.81,8/11/21,223,376,0,1,1,1,1,0,1,0,18,510.1,18,510.1
T1,High,High,1,37,T1_1_37,283_11,283,2890,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,38,T1_1_38,267_12,267,2498.61,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
