X,Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Transplant_Date,OD_transplant,Date_first_death_observed,Status,Lifetime_Flowered,Lifetime_Fruited,Overwinter_survival,Season_survival,Pre_Vern_Flowered,Post_Vern_Flowered,Date_PreVern_Flowering,Date_PostVern_Flowering,Stem_number_flowering_pre,Height1_flowering_pre,Stem_number_flowering,Height1_flowering,Height2_flowering,Height3_flowering,Height4_flowering,Height5_flowering,Height6_flowering,Height7_flowering,Height8_flowering,Date_silique_pre,Date_silique,Pre_Vern_Fruited,Post_Vern_Fruited,Stem_number_silique_pre,Height1_silique_pre,Height2_silique_pre,Height3_silique_pre,Height4_silique_pre,Height5_silique_pre,Stem_number_silique,Height1_silique,Height2_silique,Height3_silique,Height4_silique,Height5_silique,Height6_silique,Height7_silique,Height8_silique,Height9_silique,Failed_silique_number,Mature_silique_number,Mature_length_siliques,Post_reproductive,Date_post_reproductive,Stem_number_PR,Height1_PR,Height2_PR,Height3_PR,Height4_PR,Height5_PR,Height6_PR,Height7_PR,Height8_PR,Stem_number_Harvest,Height1_Harvest,Height2_Harvest,Height3_Harvest,Height4_Harvest,Height5_Harvest,Width_Census1,Width_Census2,Width_Census3,Width_Census4,Width_Census5,Width_Census6,Width_Census7,Width_Census8,Width_Census9,Width_Census10,Rosette_FW,Rosette_DW,Stem_FW,Stem_DW,Bolt_Leaves_FW,Bolt_Leaves_DW,Flower_FW,Flower_DW,Root_DW,Root_Shoot,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass,Licor_SLA,Q.anthocyanin,SLA_rosette_June22,Check,Resolution,Next steps
1,T1,High,High,1,1,T1_1_1,213_1,213,2789.81,8/11/2021,223,376,0,1,1,1,1,0,1,NA,261,NA,NA,1,143,NA,NA,NA,NA,NA,NA,NA,NA,293,0,1,NA,NA,NA,NA,NA,NA,1,370,NA,NA,NA,NA,NA,NA,NA,NA,0,13,431.5,1,308,1,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,49.95,40.55,19.78,21.12,30.32,25.84,29.12,35.37,NA,0.1848,0.0793,0,0,0,0,0,0,0.3919,4.941992434,0.000592292,4.628983593,648.9094839,412.9876785,0.033637897,0.870969484,NA,NA,6.881,158.5128619,,,
2,T1,High,High,1,2,T1_1_2,158_2,158,3004,8/18/2021,230,369,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.81,32.3,33.57,24.61,18.78,32.09,36.7,35.17,27.56,NA,0.2427,0.0794,0,0,0,0,0,0,0.2319,2.920654912,NA,NA,NA,NA,NA,NA,NA,NA,6.128,138.4744193,,,
3,T1,High,High,1,3,T1_1_3,270_10,270,2553,8/13/2021,225,26,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
4,T1,High,High,1,4,T1_1_4,269_15,269,2800,8/13/2021,225,374,0,1,1,1,1,0,1,NA,262,NA,NA,1,71,NA,NA,NA,NA,NA,NA,NA,NA,341,0,1,NA,NA,NA,NA,NA,NA,2,160,145,NA,NA,NA,NA,NA,NA,NA,0,11,283.4,1,361,2,142,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,66.13,69.32,79.31,30.62,51.38,39.08,35.23,26.71,NA,0.2334,0.0968,0.1429,0.0646,0,0,0,0,0.6823,4.227385378,0.001921424,5.549963276,648.7155484,546.7146637,0.106178999,0.790969324,NA,NA,18.752,84.10442899,,,
5,T1,High,High,1,5,T1_1_5,211_13A,211,3121.58,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
6,T1,High,High,1,6,T1_1_6,48_2,48,2951,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
7,T1,High,High,1,7,T1_1_7,57_1,57,3143,9/7/2021,250,349,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.88,69.61,68.9,39.69,31.96,47.63,46.48,36.36,34.79,NA,0.4719,0.1577,0,0,0,0,0,0,0.3118,1.977171845,NA,NA,NA,NA,NA,NA,NA,NA,1.837,125.3391941,,,
8,T1,High,High,1,8,T1_1_8,98_7,98,3011,8/18/2021,230,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
9,T1,High,High,1,9,T1_1_9,303_8,303,3570,8/11/2021,223,376,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.18,34.32,38.43,35.16,40.83,44.64,49.54,41.56,39,NA,0.5863,0.2217,0,0,0,0,0,0,0.4477,2.01939558,0.001584178,2.197239801,649.5281613,566.550399,0.061312626,0.582510126,NA,NA,7.788,101.2980943,,,
10,T1,High,High,1,10,T1_1_10,253_9,253,3460,8/13/2021,225,278,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.84,34.06,32.94,9.09,21.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000808875,2.289511052,649.6406774,548.8773075,0.044244918,0.506882734,0.0072,70.40037972,24.174,NA,,,
