Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T1,High,High,1,1,T1_1_1,213_1,213,2789.81,1,0.000592292,4.628983593,648.9094839,412.9876785,0.033637897,0.870969484,NA
T1,High,High,1,4,T1_1_4,269_15,269,2800,1,0.001921424,5.549963276,648.7155484,546.7146637,0.106178999,0.790969324,NA
T1,High,High,1,9,T1_1_9,303_8,303,3570,1,0.001584178,2.197239801,649.5281613,566.550399,0.061312626,0.582510126,NA
T1,High,High,1,10,T1_1_10,253_9,253,3460,1,0.000808875,2.289511052,649.6406774,548.8773075,0.044244918,0.506882734,0.0072
T1,High,High,1,13,T1_1_13,194_2,194,3108,1,0.001380895,2.92750576,649.3022581,538.7563143,0.05453807,0.705091016,0.0057
T1,High,High,1,22,T1_1_22,250_28,250,3133,1,0.001223402,8.23490535,648.1639667,444.1014131,0.070293874,0.814410231,0.0076
T1,High,High,1,29,T1_1_29,151_3,151,2975,1,0.002347388,8.555436753,648.8685,515.0787781,0.120068359,0.447671146,0.0047
T1,High,High,1,36,T1_1_36,213_1,213,2789.81,1,0.000504514,3.584170682,649.5305,432.6236238,0.028532562,0.487527857,0.0034
T1,High,High,1,39,T1_1_39,283_22,283,2890,1,0.00317611,8.617634589,647.2658,487.8279964,0.105665763,1.012618513,0.0082
T1,High,High,1,40,T1_1_40,151_3,151,2975,1,0.003183277,4.039348407,649.5002667,594.7274209,0.178957912,0.344803557,0.0026
T1,High,High,1,42,T1_1_42,250_28,250,3133,1,0.000965749,8.964696223,648.169871,364.3593278,0.053578573,0.769607274,0.0077
T1,High,High,1,48,T1_1_48,210_3,210,3161.3,2,0.000679235,8.719592997,648.9687419,273.3715592,0.03862637,0.430108387,0.0035
T1,High,High,1,50,T1_1_50,151_3,151,2975,1,0.000703249,5.02350892,649.1760323,433.3501602,0.04022333,0.611255703,0.0047
T1,High,High,1,51,T1_1_51,328_2,328,3660,1,0.001662735,11.1349027,648.2485806,434.63647,0.090957433,0.587026264,0.0056
